127.0.0.1, 2013-07-31 18:20:42, GET, /easyflow/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000602
127.0.0.1, 2013-07-31 18:20:42, GET, /easyflow/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000644
127.0.0.1, 2013-07-31 18:20:42, GET, /easyflow/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001116
127.0.0.1, 2013-07-31 18:20:42, GET, /easyflow/static/js/share.js, HTTP/1.1, 200, 0.000606
127.0.0.1, 2013-07-31 18:20:43, GET, /easyflow/static/images/favicon.ico, HTTP/1.1, 200, 0.000501
127.0.0.1, 2013-07-31 18:20:43, GET, /easyflow/static/images/gplus-32.png, HTTP/1.1, 200, 0.000808
127.0.0.1, 2013-07-31 18:20:43, GET, /easyflow/static/images/facebook.png, HTTP/1.1, 200, 0.000691
127.0.0.1, 2013-07-31 18:20:43, GET, /easyflow/static/images/twitter.png, HTTP/1.1, 200, 0.001929
127.0.0.1, 2013-07-31 18:20:46, GET, /admin/default/design/easyflow, HTTP/1.1, 200, 0.057906
127.0.0.1, 2013-07-31 18:20:56, GET, /easyflow/appadmin/graph_model, HTTP/1.1, 200, 0.257984
127.0.0.1, 2013-07-31 18:20:56, GET, /easyflow/static/js/share.js, HTTP/1.1, 304, 0.000449
127.0.0.1, 2013-07-31 18:21:22, GET, /easyflow/appadmin/index, HTTP/1.1, 200, 0.252510
127.0.0.1, 2013-07-31 18:21:22, GET, /easyflow/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000933
127.0.0.1, 2013-07-31 18:21:22, GET, /easyflow/static/js/calendar.js, HTTP/1.1, 304, 0.001524
127.0.0.1, 2013-07-31 18:21:22, GET, /easyflow/static/js/jquery.js, HTTP/1.1, 304, 0.000761
127.0.0.1, 2013-07-31 18:21:22, GET, /easyflow/static/js/web2py.js, HTTP/1.1, 304, 0.000753
127.0.0.1, 2013-07-31 18:21:22, GET, /easyflow/static/css/web2py.css, HTTP/1.1, 304, 0.001195
127.0.0.1, 2013-07-31 18:21:22, GET, /easyflow/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000510
127.0.0.1, 2013-07-31 18:21:22, GET, /easyflow/static/css/calendar.css, HTTP/1.1, 304, 0.002083
127.0.0.1, 2013-07-31 18:21:22, GET, /easyflow/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000539
127.0.0.1, 2013-07-31 18:21:22, GET, /easyflow/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000526
127.0.0.1, 2013-07-31 18:21:22, GET, /easyflow/static/js/share.js, HTTP/1.1, 304, 0.000178
